,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_DC24ds_v3,24,192,2.7120,3.8160
,Standard_E48as_v5,48,384,2.7120,4.9200
,Standard_DC48ads_v5,48,192,2.7190,4.9270
,Standard_D64as_v5,64,256,2.7520,5.6960
,Standard_L32s_v3,32,256,2.7840,4.2560
,Standard_M32ls,32,256,2.8730,4.3450
,Standard_EC48as_v5,48,384,2.9830,5.1910
,Standard_E48_v3,48,384,3.0240,5.2320
,Standard_E48_v4,48,384,3.0240,5.2320
,Standard_E48_v5,48,384,3.0240,5.2320
,Standard_E48a_v4,48,384,3.0240,5.2320
,Standard_E48as_v4,48,384,3.0240,5.2320
,Standard_E48s_v3,48,384,3.0240,5.2320
,Standard_E48s_v4,48,384,3.0240,5.2320
,Standard_E48s_v5,48,384,3.0240,5.2320
,Standard_F72s_v2,72,144,3.0450,5.8600
,Standard_NC6s_v3,6,112,3.0600,3.3360
,Standard_D64_v3,64,256,3.0720,6.0160
,Standard_D64_v4,64,256,3.0720,6.0160
,Standard_D64_v5,64,256,3.0720,6.0160
,Standard_D64a_v4,64,256,3.0720,6.0160
,Standard_D64as_v4,64,256,3.0720,6.0160
,Standard_D64s_v3,64,256,3.0720,6.0160
,Standard_D64s_v4,64,256,3.0720,6.0160
,Standard_D64s_v5,64,256,3.0720,6.0160
,Standard_DC32s_v3,32,256,3.0720,4.5440
,Standard_M16-4ms,4,437.5,3.0730,4.2138
,Standard_M16-8ms,8,437.5,3.0730,4.2138
,Standard_M16ms,16,437.5,3.0730,4.2138
,Standard_E48ads_v5,48,384,3.1440,5.3520
,Standard_HC44-16rs,16,352,3.1680,5.1920
,Standard_HC44-32rs,32,352,3.1680,5.1920
,Standard_HC44rs,44,352,3.1680,5.1920
,Standard_NV36ads_A10_v5,36,440,3.2000,4.8560
,Standard_D64ads_v5,64,256,3.2960,6.2400
,Standard_NP20s,20,336,3.3000,4.2200
,Standard_FX36mds,36,756,3.3480,5.0040
,Standard_E48d_v4,48,384,3.4560,5.6640
,Standard_E48d_v5,48,384,3.4560,5.6640
,Standard_E48ds_v4,48,384,3.4560,5.6640
,Standard_E48ds_v5,48,384,3.4560,5.6640
,Standard_EC48ads_v5,48,384,3.4580,5.6660
,Standard_E48bs_v5,48,384,3.5760,5.7840
,Standard_HB120-16rs_v2,16,456,3.6000,9.1200
,Standard_HB120-16rs_v3,16,448,3.6000,9.1200
,Standard_HB120-32rs_v2,32,456,3.6000,9.1200
,Standard_HB120-32rs_v3,32,448,3.6000,9.1200
,Standard_HB120-64rs_v3,64,448,3.6000,9.1200
,Standard_HB120-96rs_v2,96,456,3.6000,9.1200
,Standard_HB120-96rs_v3,96,448,3.6000,9.1200
,Standard_HB120rs_v2,120,456,3.6000,9.1200
